               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078401,            0.033408,                   0,            0.013174,                0.85,            0.019755,           0.0053481,             0.04353,            0.021233,                   0,                 0.1,                   0,                   0
                   1,            0.079571,            0.031148,                   0,            0.019171,                0.55,            0.022094,           0.0059558,             0.04287,            0.020853,                   0,              0.0991,          9.9505e-05,          9.9505e-05
                   2,            0.081504,             0.03049,                   0,            0.016365,                0.95,            0.024184,             0.00592,            0.042481,            0.020535,                   0,            0.098198,          0.00019802,          0.00019802
                   3,             0.11623,            0.030324,                   0,            0.017393,                0.95,            0.024663,           0.0059435,            0.042456,            0.020512,                   0,            0.097296,          0.00029554,          0.00029554
                   4,             0.12895,            0.031597,                   0,            0.019478,                 0.8,            0.023217,           0.0064663,            0.042226,            0.019956,                   0,            0.096392,          0.00039208,          0.00039208
                   5,            0.079334,            0.032686,                   0,            0.017386,                0.95,            0.023997,           0.0061795,            0.042047,            0.019239,                   0,            0.095488,          0.00048762,          0.00048762
                   6,              0.1344,            0.031625,                   0,            0.014259,                 0.9,             0.02211,           0.0052376,            0.042129,             0.01849,                   0,            0.094582,          0.00058218,          0.00058218
                   7,            0.078975,            0.029458,                   0,            0.019543,                 0.7,            0.020456,           0.0048871,            0.041566,            0.017793,                   0,            0.093676,          0.00067574,          0.00067574
                   8,            0.076153,             0.02825,                   0,               0.003,                 0.9,            0.018844,           0.0042082,            0.041166,            0.017046,                   0,            0.092768,          0.00076832,          0.00076832
                   9,            0.073566,            0.029232,                   0,            0.010119,                 0.9,            0.018371,           0.0048879,            0.039846,            0.016418,                   0,             0.09186,          0.00085991,          0.00085991
                  10,            0.071324,            0.028738,                   0,            0.011066,                0.85,            0.017165,           0.0039793,            0.040913,              0.0154,                   0,            0.090951,           0.0009505,           0.0009505
                  11,            0.067392,             0.02902,                   0,            0.012669,                0.85,            0.024276,           0.0062614,            0.038979,            0.014904,                   0,             0.09004,           0.0010401,           0.0010401
                  12,            0.071371,            0.026342,                   0,           0.0043261,                0.95,            0.025251,            0.005984,            0.037556,            0.014424,                   0,            0.089129,           0.0011287,           0.0011287
                  13,             0.10641,            0.028806,                   0,           0.0033325,                0.95,            0.038217,           0.0085268,            0.035604,            0.013961,                   0,            0.088216,           0.0012163,           0.0012163
                  14,             0.11127,            0.032869,                   0,           0.0031667,                0.95,            0.038384,           0.0094383,            0.033334,            0.013637,                   0,            0.087303,            0.001303,            0.001303
                  15,            0.056108,            0.028858,                   0,           0.0031667,                0.95,            0.038753,           0.0088174,            0.031221,            0.013444,                   0,            0.086389,           0.0013886,           0.0013886
                  16,            0.055614,             0.02657,                   0,           0.0036475,                0.95,            0.069654,             0.01686,             0.03061,            0.012942,                   0,            0.085473,           0.0014733,           0.0014733
                  17,             0.05808,            0.029087,                   0,            0.031084,                 0.9,            0.093589,            0.024035,            0.028989,            0.012806,                   0,            0.084557,           0.0015569,           0.0015569
                  18,            0.057359,            0.026265,                   0,            0.033483,                0.85,             0.11519,            0.027452,            0.027593,            0.012476,                   0,             0.08364,           0.0016396,           0.0016396
                  19,            0.053826,            0.024996,                   0,             0.01995,                 0.9,             0.15255,            0.036168,             0.02626,            0.012243,                   0,            0.082721,           0.0017213,           0.0017213
                  20,            0.092015,            0.029237,                   0,             0.10897,                0.75,             0.22328,            0.060567,            0.024783,            0.012088,                   0,            0.081802,            0.001802,            0.001802
                  21,              0.1057,            0.028731,                   0,              0.3179,                 0.5,             0.37527,             0.15078,            0.022268,            0.012116,                   0,            0.080882,           0.0018817,           0.0018817
                  22,            0.052177,            0.028371,                   0,             0.50894,                 0.5,             0.61043,             0.26007,            0.019358,            0.012015,                   0,             0.07996,           0.0019604,           0.0019604
                  23,            0.054813,             0.02769,                   0,              0.5425,             0.53416,              0.5638,             0.29846,            0.017591,            0.011814,                   0,            0.079038,           0.0020381,           0.0020381
                  24,            0.047509,            0.028118,                   0,              0.6654,             0.69619,             0.55724,             0.26168,            0.018316,             0.01142,                   0,            0.078115,           0.0021149,           0.0021149
                  25,            0.046236,            0.026629,                   0,             0.67159,             0.51182,             0.55887,              0.2229,            0.021195,            0.010659,                   0,            0.077191,           0.0021906,           0.0021906
                  26,            0.046447,            0.022208,                   0,             0.50241,             0.40409,             0.47489,             0.18027,            0.023009,            0.010107,                   0,            0.076265,           0.0022654,           0.0022654
                  27,            0.040918,            0.025548,                   0,             0.45697,                0.35,             0.37902,             0.16594,            0.020381,            0.010123,                   0,            0.075339,           0.0023391,           0.0023391
                  28,            0.041912,            0.021222,                   0,             0.55367,              0.4964,             0.62224,             0.26485,            0.017929,            0.010104,                   0,            0.074412,           0.0024119,           0.0024119
                  29,            0.070458,            0.027587,                   0,             0.65924,             0.67771,             0.66346,             0.27917,            0.017494,            0.010118,                   0,            0.073484,           0.0024837,           0.0024837
